time,sfe,ssip,rfip,type
"12/23/2022, 13:49:30",3,2,1.0,0
"12/23/2022, 13:49:32",0,0,1.0,0
"12/23/2022, 13:49:34",2,1,1.0,0
"12/23/2022, 13:49:36",4,1,1.0,0
"12/23/2022, 13:49:38",2,1,1.0,0
"12/23/2022, 13:49:40",0,0,1.0,0
"12/23/2022, 13:49:42",0,0,1.0,0
"12/23/2022, 13:49:44",8,2,1.0,0
"12/23/2022, 13:49:46",4,2,1.0,0
"12/23/2022, 13:49:48",4,1,1.0,0
"12/23/2022, 13:49:50",0,0,1.0,0
"12/23/2022, 13:49:52",0,0,1.0,0
"12/23/2022, 13:49:54",4,0,1.0,0
"12/23/2022, 13:49:56",2,0,1.0,0
"12/23/2022, 13:49:58",4,0,1.0,0
"12/23/2022, 13:50:00",0,0,1.0,0
"12/23/2022, 13:50:02",8,0,1.0,0
"12/23/2022, 13:50:04",4,0,1.0,0
"12/23/2022, 13:50:06",2,0,1.0,0
"12/23/2022, 13:50:08",2,0,1.0,0
"12/23/2022, 13:50:10",4,0,1.0,0
"12/23/2022, 13:50:12",2,0,1.0,0
"12/23/2022, 13:50:14",2,0,1.0,0
"12/23/2022, 13:50:16",2,0,1.0,0
"12/23/2022, 13:50:18",2,0,1.0,0
"12/23/2022, 13:50:20",0,0,1.0,0
"12/23/2022, 13:50:22",2,0,1.0,0
"12/23/2022, 13:50:24",0,0,1.0,0
"12/23/2022, 13:50:26",2,0,1.0,0
"12/23/2022, 13:50:28",2,0,1.0,0
time,sfe,ssip,rfip,type
"12/23/2022, 13:52:29",3,2,1.0,1
"12/23/2022, 13:52:31",0,0,1.0,1
"12/23/2022, 13:52:33",0,0,1.0,1
"12/23/2022, 13:52:35",0,0,1.0,1
"12/23/2022, 13:52:37",0,0,1.0,1
"12/23/2022, 13:52:39",0,0,1.0,1
"12/23/2022, 13:52:42",0,0,1.0,1
"12/23/2022, 13:52:44",0,0,1.0,1
"12/23/2022, 13:52:46",0,0,1.0,1
"12/23/2022, 13:52:48",0,0,1.0,1
