time,flowcount
"12/23/2022, 13:49:30",3
"12/23/2022, 13:49:32",3
"12/23/2022, 13:49:34",5
"12/23/2022, 13:49:36",9
"12/23/2022, 13:49:38",11
"12/23/2022, 13:49:40",11
"12/23/2022, 13:49:42",11
"12/23/2022, 13:49:44",19
"12/23/2022, 13:49:46",23
"12/23/2022, 13:49:48",27
"12/23/2022, 13:49:50",27
"12/23/2022, 13:49:52",27
"12/23/2022, 13:49:54",31
"12/23/2022, 13:49:56",33
"12/23/2022, 13:49:58",37
"12/23/2022, 13:50:00",37
"12/23/2022, 13:50:02",45
"12/23/2022, 13:50:04",49
"12/23/2022, 13:50:06",51
"12/23/2022, 13:50:08",53
"12/23/2022, 13:50:10",57
"12/23/2022, 13:50:12",59
"12/23/2022, 13:50:14",61
"12/23/2022, 13:50:16",63
"12/23/2022, 13:50:18",65
"12/23/2022, 13:50:20",65
"12/23/2022, 13:50:22",67
"12/23/2022, 13:50:24",67
"12/23/2022, 13:50:26",69
"12/23/2022, 13:50:28",71
time,flowcount
"12/23/2022, 13:52:29",3
"12/23/2022, 13:52:31",3
"12/23/2022, 13:52:33",3
"12/23/2022, 13:52:35",3
"12/23/2022, 13:52:37",3
"12/23/2022, 13:52:39",3
"12/23/2022, 13:52:42",3
"12/23/2022, 13:52:44",3
"12/23/2022, 13:52:46",3
"12/23/2022, 13:52:48",3
"12/23/2022, 13:52:50",3
"12/23/2022, 13:52:52",3
"12/23/2022, 13:52:54",3
"12/23/2022, 13:52:56",3
"12/23/2022, 13:52:58",3
"12/23/2022, 13:53:00",3
time,flowcount
"12/23/2022, 13:53:23",3
"12/23/2022, 13:53:25",3
"12/23/2022, 13:53:27",3
"12/23/2022, 13:53:29",3
"12/23/2022, 13:53:31",3
"12/23/2022, 13:53:33",3
"12/23/2022, 13:53:35",3
"12/23/2022, 13:53:37",3
"12/23/2022, 13:53:39",3
"12/23/2022, 13:53:41",3
"12/23/2022, 13:53:43",3
"12/23/2022, 13:53:45",3
"12/23/2022, 13:53:47",3
"12/23/2022, 13:53:49",3
"12/23/2022, 13:53:51",3
"12/23/2022, 13:53:53",3
"12/23/2022, 13:53:55",3
"12/23/2022, 13:53:57",3
"12/23/2022, 13:53:59",3
"12/23/2022, 13:54:01",3
"12/23/2022, 13:54:03",3
"12/23/2022, 13:54:05",3
"12/23/2022, 13:54:07",3
"12/23/2022, 13:54:09",3
"12/23/2022, 13:54:11",3
"12/23/2022, 13:54:13",3
"12/23/2022, 13:54:15",3
"12/23/2022, 13:54:17",3
"12/23/2022, 13:54:19",3
"12/23/2022, 13:54:21",3
"12/23/2022, 13:54:23",3
"12/23/2022, 13:54:25",3
"12/23/2022, 13:54:27",3
"12/23/2022, 13:54:29",3
"12/23/2022, 13:54:31",3
"12/23/2022, 13:54:33",3
"12/23/2022, 13:54:35",3
"12/23/2022, 13:54:37",3
"12/23/2022, 13:54:39",3
"12/23/2022, 13:54:41",3
"12/23/2022, 13:54:43",3
time,flowcount
"12/23/2022, 13:57:42",1
"12/23/2022, 13:57:44",3
"12/23/2022, 13:57:46",3
"12/23/2022, 13:57:48",3
"12/23/2022, 13:57:50",3
"12/23/2022, 13:57:52",3
"12/23/2022, 13:57:54",3
